x_0.000000,1.500000,0.000000
x_0.005000,1.498778,-0.488758
x_0.010000,1.495113,-0.977430
x_0.015000,1.489004,-1.465919
x_0.020000,1.480454,-1.954112
x_0.025000,1.469464,-2.441870
x_0.030000,1.456036,-2.929020
x_0.035000,1.440175,-3.415344
x_0.040000,1.421885,-3.900573
x_0.045000,1.401172,-4.384378
x_0.050000,1.378044,-4.866364
x_0.055000,1.352512,-5.346059
x_0.060000,1.324588,-5.822910
x_0.065000,1.294288,-6.296276
x_0.070000,1.261632,-6.765423
x_0.075000,1.226643,-7.229519
x_0.080000,1.189347,-7.687629
x_0.085000,1.149778,-8.138720
x_0.090000,1.107973,-8.581653
x_0.095000,1.063977,-9.015191
x_0.100000,1.017839,-9.438000
x_0.105000,0.969617,-9.848659
x_0.110000,0.919376,-10.245663
x_0.115000,0.867186,-10.627444
x_0.120000,0.813129,-10.992376
x_0.125000,0.757293,-11.338798
x_0.130000,0.699775,-11.665033
x_0.135000,0.640679,-11.969408
x_0.140000,0.580120,-12.250278
x_0.145000,0.518218,-12.506051
x_0.150000,0.455104,-12.735216
x_0.155000,0.390913,-12.936367
x_0.160000,0.325789,-13.108227
x_0.165000,0.259881,-13.249676
x_0.170000,0.193344,-13.359770
x_0.175000,0.126337,-13.437760
x_0.180000,0.059021,-13.483109
x_0.185000,-0.008439,-13.495500
x_0.190000,-0.075879,-13.474848
x_0.195000,-0.143133,-13.421297
x_0.200000,-0.210037,-13.335218
x_0.205000,-0.276432,-13.217203
x_0.210000,-0.342157,-13.068052
x_0.215000,-0.407062,-12.888753
x_0.220000,-0.470997,-12.680470
x_0.225000,-0.533820,-12.444513
x_0.230000,-0.595398,-12.182318
x_0.235000,-0.655602,-11.895417
x_0.240000,-0.714314,-11.585419
x_0.245000,-0.771421,-11.253977
x_0.250000,-0.826821,-10.902767
x_0.255000,-0.880418,-10.533467
x_0.260000,-0.932128,-10.147728
x_0.265000,-0.981871,-9.747163
x_0.270000,-1.029577,-9.333327
x_0.275000,-1.075185,-8.907705
x_0.280000,-1.118637,-8.471695
x_0.285000,-1.159886,-8.026610
x_0.290000,-1.198890,-7.573661
x_0.295000,-1.235612,-7.113960
x_0.300000,-1.270020,-6.648517
x_0.305000,-1.302089,-6.178241
x_0.310000,-1.331796,-5.703938
x_0.315000,-1.359123,-5.226319
x_0.320000,-1.384055,-4.746002
x_0.325000,-1.406579,-4.263520
x_0.330000,-1.426687,-3.779324
x_0.335000,-1.444370,-3.293793
x_0.340000,-1.459623,-2.807240
x_0.345000,-1.472441,-2.319919
x_0.350000,-1.482821,-1.832037
x_0.355000,-1.490761,-1.343758
x_0.360000,-1.496259,-0.855214
x_0.365000,-1.499313,-0.366512
x_0.370000,-1.499924,0.122254
x_0.375000,-1.498090,0.610999
x_0.380000,-1.493814,1.099634
x_0.385000,-1.487094,1.588061
x_0.390000,-1.477934,2.076160
x_0.395000,-1.466334,2.563784
x_0.400000,-1.452297,3.050749
x_0.405000,-1.435828,3.536826
x_0.410000,-1.416931,4.021732
x_0.415000,-1.395613,4.505122
x_0.420000,-1.371883,4.986583
x_0.425000,-1.345751,5.465621
x_0.430000,-1.317231,5.941665
x_0.435000,-1.286340,6.414048
x_0.440000,-1.253098,6.882014
x_0.445000,-1.217529,7.344704
x_0.450000,-1.179662,7.801160
x_0.455000,-1.139530,8.250321
x_0.460000,-1.097172,8.691024
x_0.465000,-1.052636,9.122007
x_0.470000,-1.005971,9.541913
x_0.475000,-0.957237,9.949300
x_0.480000,-0.906501,10.342647
x_0.485000,-0.853837,10.720367
x_0.490000,-0.799326,11.080826
x_0.495000,-0.743060,11.422357
x_0.500000,-0.685137,11.743280
x_0.505000,-0.625664,12.041928
x_0.510000,-0.564758,12.316667
x_0.515000,-0.502540,12.565923
x_0.520000,-0.439143,12.788208
x_0.525000,-0.374705,12.982147
x_0.530000,-0.309371,13.146499
x_0.535000,-0.243292,13.280187
x_0.540000,-0.176622,13.382313
x_0.545000,-0.109522,13.452181
x_0.550000,-0.042155,13.489306
x_0.555000,0.025316,13.493432
x_0.560000,0.092724,13.464528
x_0.565000,0.159906,13.402797
x_0.570000,0.226698,13.308667
x_0.575000,0.292940,13.182781
x_0.580000,0.358475,13.025989
x_0.585000,0.423150,12.839326
x_0.590000,0.486820,12.623993
x_0.595000,0.549345,12.381334
x_0.600000,0.610590,12.112812
x_0.605000,0.670432,11.819981
x_0.610000,0.728752,11.504462
x_0.615000,0.785442,11.167918
x_0.620000,0.840399,10.812027
x_0.625000,0.893532,10.438461
x_0.630000,0.944757,10.048865
x_0.635000,0.993997,9.644837
x_0.640000,1.041184,9.227918
x_0.645000,1.086257,8.799569
x_0.650000,1.129163,8.361170
x_0.655000,1.169854,7.914008
x_0.660000,1.208290,7.459270
x_0.665000,1.244436,6.998042
x_0.670000,1.278262,6.531309
x_0.675000,1.309742,6.059954
x_0.680000,1.338855,5.584758
x_0.685000,1.365584,5.106410
x_0.690000,1.389915,4.625505
x_0.695000,1.411836,4.142555
x_0.700000,1.431338,3.657992
x_0.705000,1.448413,3.172179
x_0.710000,1.463058,2.685412
x_0.715000,1.475266,2.197933
x_0.720000,1.485036,1.709938
x_0.725000,1.492365,1.221581
x_0.730000,1.497252,0.732988
x_0.735000,1.499695,0.244262
x_0.740000,1.499694,-0.244507
x_0.745000,1.497250,-0.733233
x_0.750000,1.492362,-1.221826
x_0.755000,1.485032,-1.710183
x_0.760000,1.475261,-2.198178
