x_0.000000,-0.500000,0.000000
x_0.005000,-0.499413,0.234834
x_0.010000,-0.497652,0.469164
x_0.015000,-0.494723,0.702483
x_0.020000,-0.490630,0.934287
x_0.025000,-0.485383,1.164073
x_0.030000,-0.478994,1.391336
x_0.035000,-0.471475,1.615574
x_0.040000,-0.462844,1.836286
x_0.045000,-0.453119,2.052973
x_0.050000,-0.442322,2.265138
x_0.055000,-0.430476,2.472287
x_0.060000,-0.417608,2.673933
x_0.065000,-0.403747,2.869591
x_0.070000,-0.388923,3.058784
x_0.075000,-0.373170,3.241044
x_0.080000,-0.356525,3.415910
x_0.085000,-0.339024,3.582935
x_0.090000,-0.320709,3.741683
x_0.095000,-0.301622,3.891732
x_0.100000,-0.281807,4.032679
x_0.105000,-0.261311,4.164137
x_0.110000,-0.240182,4.285741
x_0.115000,-0.218470,4.397149
x_0.120000,-0.196228,4.498041
x_0.125000,-0.173508,4.588128
x_0.130000,-0.150365,4.667145
x_0.135000,-0.126855,4.734858
x_0.140000,-0.103036,4.791068
x_0.145000,-0.078964,4.835604
x_0.150000,-0.054699,4.868334
x_0.155000,-0.030301,4.889156
x_0.160000,-0.005828,4.898009
x_0.165000,0.018659,4.894864
x_0.170000,0.043101,4.879733
x_0.175000,0.067437,4.852660
x_0.180000,0.091608,4.813728
x_0.185000,0.115554,4.763055
x_0.190000,0.139219,4.700793
x_0.195000,0.162543,4.627129
x_0.200000,0.185472,4.542279
x_0.205000,0.207948,4.446495
x_0.210000,0.229919,4.340053
x_0.215000,0.251331,4.223261
x_0.220000,0.272135,4.096448
x_0.225000,0.292280,3.959970
x_0.230000,0.311719,3.814204
x_0.235000,0.330407,3.659544
x_0.240000,0.348300,3.496405
x_0.245000,0.365357,3.325215
x_0.250000,0.381540,3.146417
x_0.255000,0.396810,2.960466
x_0.260000,0.411133,2.767825
x_0.265000,0.424478,2.568970
x_0.270000,0.436813,2.364379
x_0.275000,0.448113,2.154540
x_0.280000,0.458351,1.939943
x_0.285000,0.467505,1.721085
x_0.290000,0.475555,1.498463
x_0.295000,0.482484,1.272577
x_0.300000,0.488276,1.043929
x_0.305000,0.492920,0.813022
x_0.310000,0.496404,0.580361
x_0.315000,0.498721,0.346449
x_0.320000,0.499867,0.111792
x_0.325000,0.499839,-0.123105
x_0.330000,0.498636,-0.357738
x_0.335000,0.496263,-0.591601
x_0.340000,0.492722,-0.824189
x_0.345000,0.488024,-1.054998
x_0.350000,0.482176,-1.283525
x_0.355000,0.475193,-1.509265
x_0.360000,0.467089,-1.731717
x_0.365000,0.457882,-1.950382
x_0.370000,0.447592,-2.164760
x_0.375000,0.436243,-2.374358
x_0.380000,0.423858,-2.578684
x_0.385000,0.410465,-2.777251
x_0.390000,0.396096,-2.969580
x_0.395000,0.380781,-3.155197
x_0.400000,0.364556,-3.333639
x_0.405000,0.347457,-3.504451
x_0.410000,0.329524,-3.667192
x_0.415000,0.310799,-3.821432
x_0.420000,0.291325,-3.966760
x_0.425000,0.271147,-4.102781
x_0.430000,0.250313,-4.229119
x_0.435000,0.228873,-4.345420
