x_0.000000,-10.000000,25.000000
x_0.005000,-9.875623,24.759695
x_0.010000,-9.752312,24.573923
x_0.015000,-9.629789,24.445092
x_0.020000,-9.507764,24.374834
x_0.025000,-9.385941,24.364027
x_0.030000,-9.264024,24.412806
x_0.035000,-9.141715,24.520562
x_0.040000,-9.018722,24.685939
x_0.045000,-8.894763,24.906813
x_0.050000,-8.769566,25.180268
x_0.055000,-8.642879,25.502568
x_0.060000,-8.514467,25.869132
x_0.065000,-8.384123,26.274505
x_0.070000,-8.251668,26.712356
x_0.075000,-8.116957,27.175483
x_0.080000,-7.979884,27.655854
x_0.085000,-7.840384,28.144679
x_0.090000,-7.698439,28.632527
x_0.095000,-7.554077,29.109484
x_0.100000,-7.407379,29.565371
x_0.105000,-7.258476,29.989996
x_0.110000,-7.107548,30.373458
x_0.115000,-6.954825,30.706470
x_0.120000,-6.800581,30.980698
x_0.125000,-6.645128,31.189091
x_0.130000,-6.488809,31.326173
x_0.135000,-6.331991,31.388289
x_0.140000,-6.175054,31.373769
x_0.145000,-6.018381,31.283002
x_0.150000,-5.862347,31.118426
x_0.155000,-5.707313,30.884408
x_0.160000,-5.553609,30.587049
x_0.165000,-5.401535,30.233924
x_0.170000,-5.251348,29.833767
x_0.175000,-5.103260,29.396135
x_0.180000,-4.957433,28.931079
x_0.185000,-4.813978,28.448816
x_0.190000,-4.672956,27.959456
x_0.195000,-4.534379,27.472749
x_0.200000,-4.398209,26.997903
x_0.205000,-4.264366,26.543432
x_0.210000,-4.132728,26.117060
x_0.215000,-4.003137,25.725663
x_0.220000,-3.875403,25.375241
x_0.225000,-3.749307,25.070916
x_0.230000,-3.624610,24.816947
x_0.235000,-3.501048,24.616756
x_0.240000,-3.378348,24.472957
x_0.245000,-3.256222,24.387380
x_0.250000,-3.134375,24.361099
x_0.255000,-3.012511,24.394438
x_0.260000,-2.890332,24.486985
x_0.265000,-2.767545,24.637578
x_0.270000,-2.643863,24.844294
x_0.275000,-2.519013,25.104425
x_0.280000,-2.392735,25.414453
x_0.285000,-2.264792,25.770015
x_0.290000,-2.134968,26.165887
x_0.295000,-2.003076,26.595965
x_0.300000,-1.868963,27.053270
x_0.305000,-1.732511,27.529981
x_0.310000,-1.593645,28.017495
x_0.315000,-1.452334,28.506533
x_0.320000,-1.308593,28.987288
x_0.325000,-1.162491,29.449628
x_0.330000,-1.014145,29.883337
x_0.335000,-0.863722,30.278407
x_0.340000,-0.711441,30.625360
x_0.345000,-0.557564,30.915582
x_0.350000,-0.402392,31.141659
x_0.355000,-0.246264,31.297680
x_0.360000,-0.089539,31.379498
x_0.365000,0.067404,31.384917
x_0.370000,0.224182,31.313789
x_0.375000,0.380417,31.168028
