x_0.000000,-10.000000,0.000000
x_0.005000,-10.000662,-0.263966
x_0.010000,-10.002632,-0.523125
x_0.015000,-10.005886,-0.778065
x_0.020000,-10.010406,-1.029354
x_0.025000,-10.016175,-1.277542
x_0.030000,-10.023177,-1.523163
x_0.035000,-10.031403,-1.766729
x_0.040000,-10.040842,-2.008736
x_0.045000,-10.051488,-2.249661
x_0.050000,-10.063338,-2.489963
x_0.055000,-10.076388,-2.730080
x_0.060000,-10.090639,-2.970431
x_0.065000,-10.106093,-3.211417
x_0.070000,-10.122755,-3.453414
x_0.075000,-10.140630,-3.696779
x_0.080000,-10.159725,-3.941845
x_0.085000,-10.180051,-4.188917
x_0.090000,-10.201618,-4.438278
x_0.095000,-10.224438,-4.690178
x_0.100000,-10.248525,-4.944839
x_0.105000,-10.273892,-5.202448
x_0.110000,-10.300554,-5.463154
x_0.115000,-10.328529,-5.727071
x_0.120000,-10.357830,-5.994265
x_0.125000,-10.388477,-6.264759
x_0.130000,-10.420484,-6.538523
x_0.135000,-10.453867,-6.815473
x_0.140000,-10.488643,-7.095466
x_0.145000,-10.524827,-7.378295
x_0.150000,-10.562431,-7.663686
x_0.155000,-10.601467,-7.951289
x_0.160000,-10.641946,-8.240678
x_0.165000,-10.683876,-8.531346
x_0.170000,-10.727261,-8.822697
x_0.175000,-10.772103,-9.114049
x_0.180000,-10.818400,-9.404622
x_0.185000,-10.866147,-9.693545
x_0.190000,-10.915331,-9.979848
x_0.195000,-10.965939,-10.262465
x_0.200000,-11.017948,-10.540234
x_0.205000,-11.071331,-10.811902
x_0.210000,-11.126055,-11.076127
x_0.215000,-11.182078,-11.331485
x_0.220000,-11.239352,-11.576479
x_0.225000,-11.297822,-11.809553
x_0.230000,-11.357425,-12.029100
x_0.235000,-11.418088,-12.233479
x_0.240000,-11.479732,-12.421036
x_0.245000,-11.542268,-12.590117
x_0.250000,-11.605600,-12.739096
x_0.255000,-11.669623,-12.866391
x_0.260000,-11.734225,-12.970490
x_0.265000,-11.799286,-13.049973
x_0.270000,-11.864681,-13.103535
x_0.275000,-11.930277,-13.130008
x_0.280000,-11.995935,-13.128383
x_0.285000,-12.061512,-13.097821
x_0.290000,-12.126863,-13.037675
x_0.295000,-12.191839,-12.947500
x_0.300000,-12.256288,-12.827056
x_0.305000,-12.320059,-12.676318
x_0.310000,-12.383001,-12.495471
x_0.315000,-12.444964,-12.284907
x_0.320000,-12.505801,-12.045218
x_0.325000,-12.565369,-11.777183
x_0.330000,-12.623528,-11.481750
x_0.335000,-12.680143,-11.160024
x_0.340000,-12.735086,-10.813243
x_0.345000,-12.788236,-10.442760
x_0.350000,-12.839477,-10.050018
x_0.355000,-12.888701,-9.636533
x_0.360000,-12.935810,-9.203869
x_0.365000,-12.980711,-8.753620
x_0.370000,-13.023319,-8.287390
x_0.375000,-13.063561,-7.806779
x_0.380000,-13.101366,-7.313365
x_0.385000,-13.136675,-6.808695
x_0.390000,-13.169437,-6.294272
x_0.395000,-13.199604,-5.771550
x_0.400000,-13.227141,-5.241923
x_0.405000,-13.252014,-4.706731
x_0.410000,-13.274201,-4.167247
x_0.415000,-13.293682,-3.624686
x_0.420000,-13.310444,-3.080205
x_0.425000,-13.324482,-2.534900
x_0.430000,-13.335794,-1.989819
x_0.435000,-13.344383,-1.445961
x_0.440000,-13.350257,-0.904284
x_0.445000,-13.353431,-0.365708
