x_0.000000,7.500000,0.000000
x_0.005000,7.498858,-0.455659
x_0.010000,7.495457,-0.903205
x_0.015000,7.489839,-1.342352
x_0.020000,7.482048,-1.772812
x_0.025000,7.472126,-2.194287
x_0.030000,7.460121,-2.606466
x_0.035000,7.446078,-3.009021
x_0.040000,7.430047,-3.401598
x_0.045000,7.412079,-3.783823
x_0.050000,7.392227,-4.155289
x_0.055000,7.370545,-4.515563
x_0.060000,7.347090,-4.864181
x_0.065000,7.321923,-5.200648
x_0.070000,7.295105,-5.524442
x_0.075000,7.266701,-5.835011
x_0.080000,7.236778,-6.131781
x_0.085000,7.205407,-6.414153
x_0.090000,7.172661,-6.681516
x_0.095000,7.138618,-6.933243
x_0.100000,7.103356,-7.168702
x_0.105000,7.066959,-7.387264
x_0.110000,7.029513,-7.588305
x_0.115000,6.991106,-7.771217
x_0.120000,6.951832,-7.935418
x_0.125000,6.911784,-8.080353
x_0.130000,6.871061,-8.205511
x_0.135000,6.829763,-8.310426
x_0.140000,6.787991,-8.394690
x_0.145000,6.745851,-8.457955
x_0.150000,6.703447,-8.499945
x_0.155000,6.660887,-8.520458
x_0.160000,6.618279,-8.519374
x_0.165000,6.575730,-8.496654
x_0.170000,6.533348,-8.452348
x_0.175000,6.491242,-8.386595
x_0.180000,6.449518,-8.299621
x_0.185000,6.408281,-8.191738
x_0.190000,6.367634,-8.063348
x_0.195000,6.327680,-7.914931
x_0.200000,6.288517,-7.747046
x_0.205000,6.250241,-7.560325
x_0.210000,6.212944,-7.355464
x_0.215000,6.176716,-7.133224
x_0.220000,6.141640,-6.894413
x_0.225000,6.107798,-6.639888
x_0.230000,6.075266,-6.370544
x_0.235000,6.044115,-6.087306
x_0.240000,6.014414,-5.791124
x_0.245000,5.986224,-5.482963
x_0.250000,5.959603,-5.163800
x_0.255000,5.934603,-4.834617
x_0.260000,5.911272,-4.496395
x_0.265000,5.889652,-4.150109
x_0.270000,5.869783,-3.796727
x_0.275000,5.851695,-3.437204
x_0.280000,5.835419,-3.072478
x_0.285000,5.820978,-2.703473
x_0.290000,5.808390,-2.331094
x_0.295000,5.797671,-1.956227
x_0.300000,5.788830,-1.579737
x_0.305000,5.781875,-1.202471
x_0.310000,5.776806,-0.825258
x_0.315000,5.773621,-0.448907
x_0.320000,5.772314,-0.074210
x_0.325000,5.772875,0.298056
x_0.330000,5.775289,0.667131
x_0.335000,5.779539,1.032268
x_0.340000,5.785604,1.392735
x_0.345000,5.793458,1.747810
x_0.350000,5.803072,2.096785
x_0.355000,5.814414,2.438963
x_0.360000,5.827449,2.773660
x_0.365000,5.842137,3.100201
