x_0.000000,-3.000000,-2.000000,2.000000
x_0.010000,-2.999224,-2.038033,1.884109
x_0.020000,-2.996947,-2.076202,1.776079
x_0.030000,-2.993245,-2.114494,1.675401
x_0.040000,-2.988188,-2.152894,1.581594
x_0.050000,-2.981840,-2.191391,1.494205
x_0.060000,-2.974264,-2.229971,1.412811
x_0.070000,-2.965516,-2.268623,1.337010
x_0.080000,-2.955649,-2.307335,1.266430
x_0.090000,-2.944714,-2.346099,1.200720
x_0.100000,-2.932756,-2.384901,1.139551
x_0.110000,-2.919821,-2.423734,1.082617
x_0.120000,-2.905947,-2.462588,1.029629
x_0.130000,-2.891174,-2.501452,0.980319
x_0.140000,-2.875536,-2.540320,0.934437
x_0.150000,-2.859067,-2.579181,0.891749
x_0.160000,-2.841797,-2.618029,0.852036
x_0.170000,-2.823756,-2.656854,0.815094
x_0.180000,-2.804971,-2.695650,0.780734
x_0.190000,-2.785466,-2.734408,0.748780
x_0.200000,-2.765266,-2.773123,0.719065
x_0.210000,-2.744392,-2.811786,0.691437
x_0.220000,-2.722865,-2.850390,0.665753
x_0.230000,-2.700705,-2.888930,0.641879
x_0.240000,-2.677930,-2.927398,0.619692
x_0.250000,-2.654557,-2.965788,0.599077
x_0.260000,-2.630601,-3.004095,0.579926
x_0.270000,-2.606078,-3.042311,0.562140
x_0.280000,-2.581002,-3.080431,0.545625
x_0.290000,-2.555386,-3.118449,0.530297
x_0.300000,-2.529243,-3.156360,0.516073
x_0.310000,-2.502584,-3.194157,0.502881
x_0.320000,-2.475421,-3.231835,0.490651
x_0.330000,-2.447764,-3.269389,0.479317
x_0.340000,-2.419623,-3.306813,0.468821
x_0.350000,-2.391007,-3.344102,0.459106
x_0.360000,-2.361926,-3.381250,0.450121
x_0.370000,-2.332388,-3.418253,0.441818
x_0.380000,-2.302400,-3.455106,0.434152
x_0.390000,-2.271971,-3.491802,0.427081
x_0.400000,-2.241108,-3.528338,0.420567
x_0.410000,-2.209818,-3.564708,0.414573
x_0.420000,-2.178107,-3.600908,0.409067
x_0.430000,-2.145983,-3.636932,0.404018
x_0.440000,-2.113451,-3.672776,0.399396
x_0.450000,-2.080518,-3.708435,0.395176
x_0.460000,-2.047188,-3.743904,0.391331
x_0.470000,-2.013468,-3.779179,0.387839
x_0.480000,-1.979363,-3.814254,0.384679
x_0.490000,-1.944878,-3.849126,0.381830
x_0.500000,-1.910019,-3.883789,0.379274
x_0.510000,-1.874789,-3.918240,0.376994
x_0.520000,-1.839195,-3.952473,0.374974
x_0.530000,-1.803241,-3.986484,0.373198
x_0.540000,-1.766931,-4.020268,0.371654
x_0.550000,-1.730270,-4.053822,0.370328
x_0.560000,-1.693263,-4.087141,0.369209
x_0.570000,-1.655913,-4.120220,0.368285
x_0.580000,-1.618225,-4.153054,0.367546
x_0.590000,-1.580204,-4.185641,0.366983
x_0.600000,-1.541854,-4.217975,0.366586
x_0.610000,-1.503178,-4.250052,0.366349
x_0.620000,-1.464181,-4.281867,0.366262
x_0.630000,-1.424867,-4.313418,0.366320
x_0.640000,-1.385240,-4.344698,0.366515
x_0.650000,-1.345305,-4.375705,0.366843
x_0.660000,-1.305064,-4.406433,0.367296
x_0.670000,-1.264523,-4.436880,0.367870
x_0.680000,-1.223686,-4.467040,0.368561
x_0.690000,-1.182555,-4.496910,0.369364
x_0.700000,-1.141136,-4.526485,0.370275
x_0.710000,-1.099432,-4.555762,0.371290
x_0.720000,-1.057448,-4.584736,0.372406
x_0.730000,-1.015187,-4.613404,0.373621
x_0.740000,-0.972654,-4.641762,0.374930
x_0.750000,-0.929852,-4.669804,0.376332
x_0.760000,-0.886786,-4.697529,0.377824
x_0.770000,-0.843459,-4.724931,0.379404
x_0.780000,-0.799876,-4.752007,0.381071
x_0.790000,-0.756042,-4.778753,0.382822
x_0.800000,-0.711959,-4.805166,0.384656
x_0.810000,-0.667633,-4.831240,0.386572
x_0.820000,-0.623067,-4.856974,0.388568
x_0.830000,-0.578266,-4.882362,0.390644
x_0.840000,-0.533234,-4.907402,0.392798
x_0.850000,-0.487976,-4.932088,0.395031
x_0.860000,-0.442495,-4.956419,0.397341
x_0.870000,-0.396795,-4.980390,0.399727
x_0.880000,-0.350883,-5.003998,0.402190
x_0.890000,-0.304761,-5.027239,0.404729
x_0.900000,-0.258434,-5.050109,0.407345
x_0.910000,-0.211907,-5.072605,0.410036
x_0.920000,-0.165184,-5.094724,0.412804
x_0.930000,-0.118270,-5.116461,0.415648
x_0.940000,-0.071169,-5.137815,0.418569
x_0.950000,-0.023887,-5.158781,0.421567
x_0.960000,0.023573,-5.179355,0.424643
x_0.970000,0.071206,-5.199536,0.427796
x_0.980000,0.119006,-5.219319,0.431028
x_0.990000,0.166970,-5.238700,0.434340
x_1.000000,0.215092,-5.257678,0.437732
x_1.010000,0.263367,-5.276249,0.441205
x_1.020000,0.311791,-5.294409,0.444760
x_1.030000,0.360359,-5.312155,0.448398
x_1.040000,0.409065,-5.329485,0.452120
x_1.050000,0.457904,-5.346396,0.455928
x_1.060000,0.506872,-5.362884,0.459822
x_1.070000,0.555964,-5.378946,0.463804
x_1.080000,0.605174,-5.394580,0.467875
x_1.090000,0.654496,-5.409782,0.472037
x_1.100000,0.703927,-5.424551,0.476292
x_1.110000,0.753460,-5.438882,0.480640
x_1.120000,0.803090,-5.452774,0.485084
x_1.130000,0.852812,-5.466224,0.489625
x_1.140000,0.902620,-5.479228,0.494266
x_1.150000,0.952509,-5.491785,0.499007
x_1.160000,1.002474,-5.503892,0.503852
x_1.170000,1.052508,-5.515546,0.508802
x_1.180000,1.102607,-5.526744,0.513859
x_1.190000,1.152764,-5.537486,0.519025
x_1.200000,1.202974,-5.547767,0.524304
x_1.210000,1.253231,-5.557586,0.529696
x_1.220000,1.303530,-5.566940,0.535206
x_1.230000,1.353864,-5.575827,0.540834
x_1.240000,1.404228,-5.584245,0.546584
x_1.250000,1.454615,-5.592192,0.552459
x_1.260000,1.505020,-5.599666,0.558461
x_1.270000,1.555437,-5.606665,0.564593
x_1.280000,1.605860,-5.613186,0.570858
x_1.290000,1.656282,-5.619228,0.577259
x_1.300000,1.706697,-5.624789,0.583800
x_1.310000,1.757099,-5.629867,0.590484
x_1.320000,1.807483,-5.634460,0.597314
x_1.330000,1.857840,-5.638567,0.604293
x_1.340000,1.908166,-5.642186,0.611425
x_1.350000,1.958453,-5.645315,0.618714
x_1.360000,2.008696,-5.647953,0.626164
x_1.370000,2.058887,-5.650098,0.633778
x_1.380000,2.109020,-5.651749,0.641560
x_1.390000,2.159088,-5.652905,0.649515
x_1.400000,2.209086,-5.653564,0.657648
x_1.410000,2.259005,-5.653725,0.665961
x_1.420000,2.308839,-5.653387,0.674460
x_1.430000,2.358581,-5.652549,0.683150
x_1.440000,2.408224,-5.651210,0.692035
x_1.450000,2.457762,-5.649368,0.701121
x_1.460000,2.507187,-5.647023,0.710411
x_1.470000,2.556492,-5.644174,0.719912
x_1.480000,2.605670,-5.640821,0.729629
x_1.490000,2.654713,-5.636962,0.739567
x_1.500000,2.703615,-5.632596,0.749732
x_1.510000,2.752368,-5.627725,0.760130
x_1.520000,2.800964,-5.622346,0.770767
x_1.530000,2.849397,-5.616459,0.781649
x_1.540000,2.897658,-5.610065,0.792782
x_1.550000,2.945740,-5.603162,0.804173
x_1.560000,2.993635,-5.595751,0.815828
x_1.570000,3.041336,-5.587831,0.827755
x_1.580000,3.088834,-5.579403,0.839960
x_1.590000,3.136122,-5.570467,0.852450
x_1.600000,3.183192,-5.561022,0.865234
x_1.610000,3.230035,-5.551069,0.878318
x_1.620000,3.276644,-5.540608,0.891711
x_1.630000,3.323010,-5.529639,0.905420
x_1.640000,3.369126,-5.518164,0.919455
x_1.650000,3.414982,-5.506181,0.933822
x_1.660000,3.460570,-5.493693,0.948531
x_1.670000,3.505882,-5.480700,0.963592
x_1.680000,3.550909,-5.467202,0.979012
x_1.690000,3.595643,-5.453201,0.994802
x_1.700000,3.640075,-5.438697,1.010970
x_1.710000,3.684195,-5.423692,1.027527
x_1.720000,3.727995,-5.408186,1.044484
x_1.730000,3.771466,-5.392182,1.061849
x_1.740000,3.814598,-5.375679,1.079634
x_1.750000,3.857384,-5.358681,1.097849
x_1.760000,3.899812,-5.341187,1.116506
x_1.770000,3.941874,-5.323201,1.135616
x_1.780000,3.983560,-5.304723,1.155190
x_1.790000,4.024861,-5.285756,1.175240
x_1.800000,4.065768,-5.266301,1.195778
x_1.810000,4.106269,-5.246361,1.216817
x_1.820000,4.146355,-5.225938,1.238369
x_1.830000,4.186017,-5.205033,1.260446
x_1.840000,4.225243,-5.183650,1.283062
x_1.850000,4.264025,-5.161791,1.306231
x_1.860000,4.302351,-5.139458,1.329964
x_1.870000,4.340211,-5.116655,1.354277
x_1.880000,4.377595,-5.093384,1.379184
x_1.890000,4.414492,-5.069647,1.404698
x_1.900000,4.450891,-5.045449,1.430833
x_1.910000,4.486780,-5.020792,1.457606
x_1.920000,4.522151,-4.995680,1.485029
x_1.930000,4.556990,-4.970116,1.513119
x_1.940000,4.591287,-4.944104,1.541890
x_1.950000,4.625030,-4.917647,1.571358
x_1.960000,4.658209,-4.890749,1.601538
x_1.970000,4.690811,-4.863414,1.632446
x_1.980000,4.722824,-4.835647,1.664098
x_1.990000,4.754238,-4.807451,1.696508
x_2.000000,4.785039,-4.778831,1.729694
x_2.010000,4.815216,-4.749791,1.763671
x_2.020000,4.844757,-4.720337,1.798455
x_2.030000,4.873650,-4.690472,1.834062
x_2.040000,4.901881,-4.660201,1.870507
x_2.050000,4.929440,-4.629531,1.907806
x_2.060000,4.956312,-4.598465,1.945976
x_2.070000,4.982485,-4.567010,1.985031
x_2.080000,5.007947,-4.535171,2.024986
x_2.090000,5.032684,-4.502953,2.065857
x_2.100000,5.056685,-4.470363,2.107659
x_2.110000,5.079934,-4.437406,2.150404
x_2.120000,5.102420,-4.404088,2.194109
x_2.130000,5.124129,-4.370416,2.238785
x_2.140000,5.145048,-4.336396,2.284447
x_2.150000,5.165164,-4.302035,2.331106
x_2.160000,5.184462,-4.267339,2.378773
x_2.170000,5.202931,-4.232316,2.427460
x_2.180000,5.220555,-4.196972,2.477178
x_2.190000,5.237322,-4.161315,2.527934
x_2.200000,5.253218,-4.125352,2.579738
x_2.210000,5.268230,-4.089091,2.632596
x_2.220000,5.282344,-4.052540,2.686514
x_2.230000,5.295546,-4.015705,2.741498
x_2.240000,5.307823,-3.978596,2.797550
x_2.250000,5.319162,-3.941221,2.854672
x_2.260000,5.329550,-3.903588,2.912865
x_2.270000,5.338972,-3.865706,2.972127
x_2.280000,5.347417,-3.827583,3.032456
x_2.290000,5.354871,-3.789228,3.093845
x_2.300000,5.361320,-3.750650,3.156288
x_2.310000,5.366754,-3.711860,3.219776
x_2.320000,5.371158,-3.672865,3.284297
x_2.330000,5.374521,-3.633676,3.349837
x_2.340000,5.376831,-3.594302,3.416379
x_2.350000,5.378076,-3.554753,3.483905
x_2.360000,5.378244,-3.515040,3.552393
x_2.370000,5.377325,-3.475171,3.621818
x_2.380000,5.375308,-3.435159,3.692152
x_2.390000,5.372182,-3.395013,3.763364
x_2.400000,5.367937,-3.354743,3.835420
x_2.410000,5.362565,-3.314361,3.908283
x_2.420000,5.356056,-3.273878,3.981912
x_2.430000,5.348402,-3.233304,4.056262
x_2.440000,5.339594,-3.192651,4.131284
x_2.450000,5.329627,-3.151929,4.206929
x_2.460000,5.318492,-3.111151,4.283138
x_2.470000,5.306185,-3.070328,4.359854
x_2.480000,5.292700,-3.029471,4.437012
x_2.490000,5.278033,-2.988593,4.514545
x_2.500000,5.262180,-2.947704,4.592382
x_2.510000,5.245139,-2.906817,4.670448
x_2.520000,5.226907,-2.865943,4.748662
x_2.530000,5.207484,-2.825095,4.826943
x_2.540000,5.186870,-2.784285,4.905202
x_2.550000,5.165066,-2.743525,4.983348
x_2.560000,5.142075,-2.702826,5.061288
x_2.570000,5.117898,-2.662202,5.138922
x_2.580000,5.092542,-2.621664,5.216149
x_2.590000,5.066011,-2.581224,5.292864
x_2.600000,5.038312,-2.540894,5.368958
x_2.610000,5.009452,-2.500687,5.444319
x_2.620000,4.979442,-2.460614,5.518835
x_2.630000,4.948292,-2.420689,5.592388
x_2.640000,4.916012,-2.380921,5.664859
x_2.650000,4.882617,-2.341324,5.736129
x_2.660000,4.848121,-2.301910,5.806075
x_2.670000,4.812540,-2.262689,5.874573
x_2.680000,4.775890,-2.223674,5.941500
x_2.690000,4.738189,-2.184875,6.006730
x_2.700000,4.699459,-2.146305,6.070140
x_2.710000,4.659720,-2.107975,6.131605
x_2.720000,4.618994,-2.069894,6.191002
x_2.730000,4.577306,-2.032075,6.248209
x_2.740000,4.534680,-1.994527,6.303105
x_2.750000,4.491144,-1.957261,6.355573
