x_0.000000,-7.000000,0.000000
x_0.005000,-6.999197,0.320620
x_0.010000,-6.996799,0.638255
x_0.015000,-6.992821,0.952338
x_0.020000,-6.987282,1.262310
x_0.025000,-6.980205,1.567618
x_0.030000,-6.971615,1.867710
x_0.035000,-6.961538,2.162039
x_0.040000,-6.950005,2.450059
x_0.045000,-6.937049,2.731227
x_0.050000,-6.922705,3.005003
x_0.055000,-6.907012,3.270847
x_0.060000,-6.890011,3.528225
x_0.065000,-6.871745,3.776605
x_0.070000,-6.852260,4.015462
x_0.075000,-6.831607,4.244277
x_0.080000,-6.809835,4.462544
x_0.085000,-6.787000,4.669763
x_0.090000,-6.763157,4.865453
x_0.095000,-6.738365,5.049148
x_0.100000,-6.712686,5.220402
x_0.105000,-6.686183,5.378794
x_0.110000,-6.658920,5.523927
x_0.115000,-6.630966,5.655436
x_0.120000,-6.602389,5.772986
x_0.125000,-6.573260,5.876283
x_0.130000,-6.543651,5.965066
x_0.135000,-6.513634,6.039121
x_0.140000,-6.483284,6.098276
x_0.145000,-6.452676,6.142404
x_0.150000,-6.421885,6.171429
x_0.155000,-6.390987,6.185322
x_0.160000,-6.360057,6.184106
x_0.165000,-6.329171,6.167854
x_0.170000,-6.298404,6.136688
x_0.175000,-6.267829,6.090783
x_0.180000,-6.237520,6.030360
x_0.185000,-6.207549,5.955688
x_0.190000,-6.177986,5.867084
x_0.195000,-6.148901,5.764903
x_0.200000,-6.120359,5.649546
x_0.205000,-6.092427,5.521446
x_0.210000,-6.065165,5.381074
x_0.215000,-6.038635,5.228930
x_0.220000,-6.012895,5.065543
x_0.225000,-5.987998,4.891463
x_0.230000,-5.963997,4.707264
x_0.235000,-5.940941,4.513533
x_0.240000,-5.918876,4.310874
x_0.245000,-5.897846,4.099898
x_0.250000,-5.877890,3.881227
x_0.255000,-5.859046,3.655484
x_0.260000,-5.841346,3.423298
x_0.265000,-5.824822,3.185293
x_0.270000,-5.809502,2.942095
x_0.275000,-5.795409,2.694324
x_0.280000,-5.782565,2.442595
x_0.285000,-5.770989,2.187516
x_0.290000,-5.760695,1.929690
x_0.295000,-5.751695,1.669708
x_0.300000,-5.744000,1.408156
x_0.305000,-5.737616,1.145608
x_0.310000,-5.732545,0.882632
x_0.315000,-5.728789,0.619784
x_0.320000,-5.726346,0.357615
x_0.325000,-5.725211,0.096663
x_0.330000,-5.725376,-0.162539
x_0.335000,-5.726832,-0.419467
x_0.340000,-5.729566,-0.673607
x_0.345000,-5.733563,-0.924449
x_0.350000,-5.738805,-1.171492
x_0.355000,-5.745271,-1.414244
x_0.360000,-5.752939,-1.652217
x_0.365000,-5.761784,-1.884933
x_0.370000,-5.771779,-2.111921
x_0.375000,-5.782893,-2.332718
x_0.380000,-5.795095,-2.546869
x_0.385000,-5.808350,-2.753929
x_0.390000,-5.822622,-2.953465
x_0.395000,-5.837871,-3.145052
x_0.400000,-5.854058,-3.328281
x_0.405000,-5.871140,-3.502754
x_0.410000,-5.889071,-3.668090
x_0.415000,-5.907805,-3.823925
x_0.420000,-5.927293,-3.969914
x_0.425000,-5.947487,-4.105730
x_0.430000,-5.968333,-4.231071
x_0.435000,-5.989780,-4.345657
x_0.440000,-6.011771,-4.449236
x_0.445000,-6.034253,-4.541580
x_0.450000,-6.057168,-4.622493
x_0.455000,-6.080459,-4.691808
x_0.460000,-6.104067,-4.749390
x_0.465000,-6.127933,-4.795138
x_0.470000,-6.151998,-4.828983
x_0.475000,-6.176203,-4.850893
x_0.480000,-6.200487,-4.860869
x_0.485000,-6.224792,-4.858950
x_0.490000,-6.249057,-4.845209
x_0.495000,-6.273224,-4.819753
x_0.500000,-6.297235,-4.782727
x_0.505000,-6.321033,-4.734309
x_0.510000,-6.344560,-4.674707
x_0.515000,-6.367761,-4.604165
x_0.520000,-6.390584,-4.522954
x_0.525000,-6.412974,-4.431377
x_0.530000,-6.434881,-4.329762
x_0.535000,-6.456255,-4.218461
x_0.540000,-6.477050,-4.097851
x_0.545000,-6.497219,-3.968329
x_0.550000,-6.516719,-3.830313
x_0.555000,-6.535508,-3.684233
x_0.560000,-6.553548,-3.530539
x_0.565000,-6.570802,-3.369691
x_0.570000,-6.587234,-3.202158
x_0.575000,-6.602813,-3.028421
x_0.580000,-6.617509,-2.848966
x_0.585000,-6.631294,-2.664283
x_0.590000,-6.644144,-2.474869
x_0.595000,-6.656036,-2.281219
x_0.600000,-6.666950,-2.083830
x_0.605000,-6.676869,-1.883201
x_0.610000,-6.685777,-1.679826
x_0.615000,-6.693663,-1.474199
x_0.620000,-6.700516,-1.266809
